"","t","y","seq","sign"
"1",1,0,1,0
"2",2,0.579690429516652,1,0
"3",3,1.53733106766419,1,0
"4",4,1.53358569734897,1,0
"5",5,1.84756143001269,1,0
"6",6,2.13600568002658,1,0
"7",7,3.2579252923845,1,0
"8",8,2.97179076268728,1,0
"9",9,2.46657351641967,1,0
"10",10,0.293647768977777,1,0
"11",11,1.18240012075725,1,0
"12",12,1.40484771988307,1,0
"13",1,0,2,1
"14",2,1.31175611000735,2,1
"15",3,-0.495667682812623,2,1
"16",4,-0.451691337225543,2,1
"17",5,-0.436089708785792,2,1
"18",6,-0.316054254017665,2,1
"19",7,-0.348264406561445,2,1
"20",8,0.942323446913324,2,1
"21",9,2.26368562297066,2,1
"22",10,3.42104024860605,2,1
"23",11,5.01678148308917,2,1
"24",12,6.19049824347347,2,1
"25",1,0,3,1
"26",2,0.353691500201008,3,1
"27",3,1.37785905966282,3,1
"28",4,0.573047024564643,3,1
"29",5,0.188107252654812,3,1
"30",6,-0.0237374242217551,3,1
"31",7,-0.525958060772341,3,1
"32",8,-0.398345923322647,3,1
"33",9,-1.40628469039251,3,1
"34",10,-0.506373021050298,3,1
"35",11,-0.31204842612616,3,1
"36",12,-0.893000455361634,3,1
"37",1,0,4,1
"38",2,-0.343618248668048,4,1
"39",3,-0.282245284095936,4,1
"40",4,-0.575034747019624,4,1
"41",5,-1.41084607656078,4,1
"42",6,-1.0068820324143,4,1
"43",7,-0.370415123872826,4,1
"44",8,-1.53082077738664,4,1
"45",9,-1.94563081323639,4,1
"46",10,-2.07538778801225,4,1
"47",11,-0.993394125236597,4,1
"48",12,-0.701231123199259,4,1
"49",1,0,5,0
"50",2,-2.05719633673033,5,0
"51",3,-2.34695614704835,5,0
"52",4,-3.45957245657431,5,0
"53",5,-2.16005962405535,5,0
"54",6,-2.24207444913995,5,0
"55",7,-1.93931236014956,5,0
"56",8,-2.52391994813781,5,0
"57",9,-2.61635876354318,5,0
"58",10,-1.43948280934666,5,0
"59",11,-2.40344529997672,5,0
"60",12,-2.5235477221313,5,0
"61",1,0,6,1
"62",2,-0.317853164124249,6,1
"63",3,1.04387838709753,6,1
"64",4,2.24788262983603,6,1
"65",5,2.68164714191326,6,1
"66",6,2.32817172404531,6,1
